pokemon,role,dmg_type,burst,burst_build,dps,dps_build
Absol,Speedster,Physical,7047,muscle_band+razor_claw+float_stone / max_attack,2232,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Aegislash,All-Rounder,Physical,3808,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed,1106,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Armarouge,Attacker,Special,7262,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1265,wise_glasses+shell_bell+energy_amplifier / max_sp_atk
Azumarill,All-Rounder,Physical,5306,muscle_band+attack_weight+float_stone / max_attack,1315,muscle_band+razor_claw+float_stone / max_attack_speed
Blaziken,All-Rounder,Physical,8255,muscle_band+attack_weight+float_stone / max_attack,1638,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Buzzwole,All-Rounder,Physical,5647,muscle_band+attack_weight+float_stone / max_attack,1566,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Ceruledge,All-Rounder,Physical,5296,muscle_band+float_stone+rapid_fire_scarf / max_attack,1271,muscle_band+scope_lens+rapid_fire_scarf / max_attack
Charizard,All-Rounder,Physical,4575,muscle_band+attack_weight+float_stone / max_attack,821,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Mega-Charizard-X,All-Rounder,Physical,5042,muscle_band+attack_weight+float_stone / max_attack,821,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Mega-Charizard-Y,All-Rounder,Physical,2744,muscle_band+attack_weight+float_stone / max_attack,640,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Chandelure,Attacker,Special,7032,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1383,wise_glasses+choice_specs+shell_bell / max_sp_atk
Cinderace,Attacker,Physical,6064,muscle_band+scope_lens+float_stone / max_attack,2058,muscle_band+scope_lens+float_stone / max_attack_speed
Cramorant,Attacker,Special,4547,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,996,wise_glasses+choice_specs+shell_bell / max_sp_atk
Darkrai,Speedster,Special,16100,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,3672,wise_glasses+shell_bell+energy_amplifier / max_sp_atk
Decidueye,Attacker,Physical,7769,muscle_band+razor_claw+float_stone / max_attack,1854,muscle_band+scope_lens+float_stone / max_attack
Delphox,Attacker,Special,5797,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1126,wise_glasses+choice_specs+shell_bell / max_sp_atk
Dhelmise,All-Rounder,Physical,8922,muscle_band+attack_weight+float_stone / max_attack,1674,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Dodrio,Speedster,Physical,4469,muscle_band+razor_claw+float_stone / max_attack,1425,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Dragapult,Attacker,Physical,5606,muscle_band+scope_lens+float_stone / max_attack,1604,muscle_band+scope_lens+float_stone / max_attack_speed
