pokemon,level,hits_uninvested,hits_maxed,hits_saved,hits_reduction_pct,ttk_uninvested,ttk_maxed,ttk_reduction_pct
cinderace,1,25,13,12,48.0,24.0,11.2,53.3
cinderace,2,24,13,11,45.8,23.0,11.2,51.3
cinderace,3,24,13,11,45.8,23.0,11.2,51.3
cinderace,4,24,13,11,45.8,23.0,11.2,51.3
cinderace,5,23,13,10,43.5,22.0,11.2,49.1
cinderace,6,22,13,9,40.9,21.0,11.2,46.7
zeraora,1,21,12,9,42.9,20.0,10.27,48.7
zeraora,2,19,11,8,42.1,18.0,9.33,48.1
zeraora,3,18,11,7,38.9,17.0,9.33,45.1
zeraora,4,17,10,7,41.2,16.0,8.4,47.5
zeraora,5,17,10,7,41.2,16.0,8.4,47.5
zeraora,6,15,10,5,33.3,14.0,8.4,40.0
pikachu,1,25,13,12,48.0,24.0,11.2,53.3
pikachu,2,24,13,11,45.8,23.0,11.2,51.3
pikachu,3,24,13,11,45.8,23.0,11.2,51.3
pikachu,4,23,13,10,43.5,22.0,11.2,49.1
pikachu,5,24,14,10,41.7,23.0,12.13,47.2
pikachu,6,24,14,10,41.7,23.0,12.13,47.2
