pokemon,role,dmg_type,burst,burst_build,dps,dps_build
Absol,Speedster,Physical,3093,muscle_band+attack_weight+float_stone / max_attack,896,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Aegislash,All-Rounder,Physical,2062,muscle_band+attack_weight+float_stone / max_attack,663,muscle_band+float_stone+rapid_fire_scarf / max_attack
Armarouge,Attacker,Special,3796,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,550,wise_glasses+choice_specs+shell_bell / max_sp_atk
Azumarill,All-Rounder,Physical,3847,muscle_band+attack_weight+float_stone / max_attack,848,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Blaziken,All-Rounder,Physical,2794,muscle_band+attack_weight+float_stone / max_attack,684,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Buzzwole,All-Rounder,Physical,3722,muscle_band+attack_weight+float_stone / max_attack,1001,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Ceruledge,All-Rounder,Physical,3270,muscle_band+attack_weight+float_stone / max_attack,742,muscle_band+float_stone+rapid_fire_scarf / max_attack
Charizard,All-Rounder,Physical,2054,muscle_band+attack_weight+float_stone / max_attack,454,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Mega-Charizard-X,All-Rounder,Physical,2405,muscle_band+attack_weight+float_stone / max_attack,454,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Mega-Charizard-Y,All-Rounder,Physical,1647,muscle_band+attack_weight+float_stone / max_attack,364,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Chandelure,Attacker,Special,3956,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,631,wise_glasses+choice_specs+shell_bell / max_sp_atk
Cinderace,Attacker,Physical,1722,muscle_band+attack_weight+float_stone / max_attack,641,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Cramorant,Attacker,Special,2193,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,456,wise_glasses+choice_specs+shell_bell / max_sp_atk
Darkrai,Speedster,Special,8120,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1512,wise_glasses+choice_specs+shell_bell / max_sp_atk
Decidueye,Attacker,Physical,1622,muscle_band+attack_weight+float_stone / max_attack,561,muscle_band+float_stone+rapid_fire_scarf / max_attack
Delphox,Attacker,Special,3026,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,448,wise_glasses+choice_specs+shell_bell / max_sp_atk
Dhelmise,All-Rounder,Physical,5751,muscle_band+attack_weight+float_stone / max_attack,1022,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Dodrio,Speedster,Physical,2705,muscle_band+attack_weight+float_stone / max_attack,763,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Dragapult,Attacker,Physical,2174,muscle_band+attack_weight+float_stone / max_attack,624,muscle_band+float_stone+rapid_fire_scarf / max_attack
Dragonite,All-Rounder,Physical,2515,muscle_band+attack_weight+float_stone / max_attack,664,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Duraludon,Attacker,Physical,2398,muscle_band+attack_weight+float_stone / max_attack,761,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
